ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-21 11:30:00+00:00,1.04692,1.04741,1.04692,1.04699,539,0.0005967276777733546,36.342756176879966,38.94987375855284,1.0482836391539094,1.0468142045943396
2025-02-21 11:45:00+00:00,1.04698,1.0472,1.04687,1.04692,726,0.0005776757007895395,35.73259847398002,38.31685233628953,1.0482301631086581,1.0468152572849432
2025-02-21 12:00:00+00:00,1.04693,1.04711,1.04594,1.04604,750,0.0006199845793045648,36.254258441872146,31.406486726450744,1.048144274359299,1.046807543282108
2025-02-21 12:15:00+00:00,1.04605,1.04688,1.04604,1.04688,616,0.0006356999664970924,36.73865698348627,42.13435215537849,1.04809469497266,1.0468082642444752
2025-02-21 12:30:00+00:00,1.04687,1.04696,1.04645,1.0468,721,0.0006267213974615707,36.97780527492267,41.46915431171643,1.048043922620791,1.046808182013187
2025-02-21 12:45:00+00:00,1.04679,1.04703,1.04597,1.0462,959,0.000657669869071447,37.702978867968,36.77925626607192,1.0479716119297795,1.0468021304508666
2025-02-21 13:00:00+00:00,1.04619,1.04669,1.04616,1.04658,834,0.0006485505927091951,38.37635434722437,41.30661017588181,1.0479170389129253,1.0467999201976241
2025-02-21 13:15:00+00:00,1.0466,1.04682,1.04614,1.04676,875,0.0006507969789442536,38.62738045626173,43.375157419287525,1.0478716648379087,1.0467995229817273
2025-02-21 13:30:00+00:00,1.04681,1.04747,1.04671,1.04727,1004,0.0006585971947339406,37.229741375122934,48.873189918500984,1.047848070138383,1.0468042043450931
2025-02-21 13:45:00+00:00,1.04733,1.04779,1.04729,1.04752,1157,0.0006486973951100931,35.263488215831764,51.366030625581885,1.0478352046427601,1.0468113266899182
2025-02-21 14:00:00+00:00,1.04751,1.04803,1.04731,1.04754,1507,0.0006537904383165189,32.96991605796479,51.56947219776907,1.047823627990103,1.0468185771706155
2025-02-21 14:15:00+00:00,1.04758,1.04777,1.0472,1.04774,997,0.0006478054070082091,31.03816426519604,53.65716809993235,1.0478203484610793,1.0468277455569777
2025-02-21 14:30:00+00:00,1.04771,1.04794,1.04704,1.04781,1495,0.0006658193065076316,28.900363368593023,54.39810908060622,1.0478199426390762,1.0468375192330277
2025-02-21 14:45:00+00:00,1.0488,1.04926,1.04785,1.04813,1959,0.0007218322131856702,28.746362900961067,57.72558751292036,1.0478321017512693,1.0468503797381716
2025-02-21 15:00:00+00:00,1.0482,1.04861,1.04669,1.04673,1962,0.0008074156265295612,26.73120796161508,42.95724998170715,1.047788882074749,1.0468491819298316
2025-02-21 15:15:00+00:00,1.04672,1.04689,1.04546,1.04547,1765,0.0008518859389203098,26.15547789192463,34.421837860603446,1.047697945522798,1.0468354587265496
2025-02-21 15:30:00+00:00,1.04548,1.04614,1.04527,1.04551,1458,0.0008531798004260126,25.799795411366784,34.86430518480471,1.0476121437375903,1.0468222700825043
